PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Standard Type,Standard Relation,Standard Value,Activity Comment
9,103177883,3121,CCCC(CCC)C(=O)O,Unspecified,,,,AUC Ratio,=,0.7847,INACTIVE TEST AT HIGHER DOSE
10,103181943,4829,CCC1=CN=C(C=C1)CCOC2=CC=C(C=C2)CC3C(=O)NC(=O)S3,Unspecified,,,,AUC Ratio,=,0.869,INACTIVE
11,103195217,135398745,CC1=CC2=C(S1)NC3=CC=CC=C3N=C2N4CCN(CC4)C,Unspecified,,,,AUC Ratio,=,1.054,INACTIVE
12,103202903,446727,C1[C@@H]([C@H](O[C@H]1N2C=C(C(=O)NC2=O)/C=C/Br)CO)O,Unspecified,,,,AUC Ratio,=,0.96,INACTIVE
13,103234890,5360696,CN1CC[C@@]23CCCC[C@@H]2[C@@H]1CC4=C3C=C(C=C4)OC,Unspecified,,,,AUC Ratio,=,1.093,INACTIVE MAY MAKE IT WORSE?
14,103237360,10474335,COC1=CC=CC2=C1CCCC2CCCN3CCN(CC3)C4CCCCC4,Unspecified,,,,AUC Ratio,=,2.131,ACTIVE
15,103266319,3957,CCOC(=O)N1CCC(=C2C3=C(CCC4=C2N=CC=C4)C=C(C=C3)Cl)CC1,Unspecified,,,,AUC Ratio,=,0.9671,INACTIVE
16,103378026,5362119,C1C[C@H](N(C1)C(=O)[C@H](CCCCN)N[C@@H](CCC2=CC=CC=C2)C(=O)O)C(=O)O,Unspecified,,,,AUC Ratio,=,1.037,INACTIVE
17,103477782,30323,C[C@H]1[C@H]([C@H](C[C@@H](O1)O[C@H]2C[C@@](CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)C)O)N)O,Unspecified,,,,AUC Ratio,=,0.3082,AGONIST AGONIST
18,103479736,41684,CC(=O)OC1=CC=CC=C1C(=O)NC2=NC=C(S2)[N+](=O)[O-],Unspecified,,,,AUC Ratio,=,1.178,"PARITAL/INCONCLUSIVE PARTIAL INHIBITION, INCONCLUSIVE"
19,103503415,16362,C1CN(CCC1N2C3=CC=CC=C3NC2=O)CCCC(C4=CC=C(C=C4)F)C5=CC=C(C=C5)F,Unspecified,,,,AUC Ratio,=,0.959,INACTIVE/INCONCLUSIVE INCONCLUSIVE CELL VIABILITY AT 20 UM
20,103508547,4091,CN(C)C(=N)N=C(N)N,Unspecified,,,,AUC Ratio,=,1.043,INACTIVE/INCONCLUSIVE TEST AT HIGHER DOSE
21,103511073,16726095,CC1=CC=C(C=C1)C2(CC2CN3CCC(CC3)(C4=CC=CC=C4)O)C(=O)OC,Unspecified,,,,AUC Ratio,=,0.773,INACTIVE
22,103555944,2805,C1CCN(CC1)CCOC(C2=CC=CC=C2)C3=CC=C(C=C3)Cl,Unspecified,,,,AUC Ratio,=,1.352,ACTIVE
23,103556527,135539077,CCNC(=O)C1=NOC(=C1C2=CC=C(C=C2)CN3CCOCC3)C4=CC(=C(C=C4O)O)C(C)C,Unspecified,,,,AUC Ratio,=,0.941,U-SHAPED RESPONSE TEST AT LOWER CONC.
24,103562286,6911989,C1=CC=C(C(=C1)C/C(=N/NC2=NC(=CS2)C3=CC(=C(C=C3)Cl)Cl)/C(=O)O)[N+](=O)[O-],Unspecified,,,,AUC Ratio,=,0.98,INACTIVE/INCONCLUSIVE
25,103566848,3652,CCN(CCCC(C)NC1=C2C=CC(=CC2=NC=C1)Cl)CCO,Unspecified,,,,AUC Ratio,=,1.675,ACTIVE
26,103581295,44093,C[C@H](CS)C(=O)N1CCC[C@H]1C(=O)O,Unspecified,,,,AUC Ratio,=,0.986,INACTIVE
27,103605085,26987,C[C@@](C1=CC=CC=C1)(C2=CC=C(C=C2)Cl)OCC[C@H]3CCCN3C,Unspecified,,,,AUC Ratio,=,1.343,ACTIVE
28,103619997,37542,C1=NC(=NN1[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O)C(=O)N,Unspecified,,,,AUC Ratio,=,1.015,INACTIVE
29,103623548,10113978,CC1=C(C=C(C=C1)NC2=NC=CC(=N2)N(C)C3=CC4=NN(C(=C4C=C3)C)C)S(=O)(=O)N,Unspecified,,,,AUC Ratio,=,0.913,INACTIVE
30,103724215,2536,CN(C)C(=O)COC(=O)CC1=CC=C(C=C1)OC(=O)C2=CC=C(C=C2)N=C(N)N,Unspecified,,,,AUC Ratio,=,1.1,INACTIVE
31,103734272,9829523,C[C@@]12[C@@H]([C@@H](C[C@@H](O1)N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N2C7=C53)CNC6=O)N(C)C(=O)C9=CC=CC=C9)OC,Unspecified,,,,AUC Ratio,=,0.2848,AGONIST ASSAY INCONCLUSIVE
32,104241012,11955716,CC(C)C1=CC(=C(C=C1O)O)C(=O)N2CC3=C(C2)C=C(C=C3)CN4CCN(CC4)C,Unspecified,,,,AUC Ratio,=,0.964,PARITAL INHIBITION VIRAL INHIBITION GOES DOWN TO 50%
33,104246358,24748573,C1=CC(=CC(=C1)Cl)NC2=NC3=C(C=CC(=C3)C(=O)O)C4=C2C=CN=C4,Unspecified,,,,AUC Ratio,=,1.043,ACTIVE IC50 == CC50
34,123097007,5478883,C[C@@H](C(=O)N[C@@H](CC(C)C)[C@H](CC(=O)O)O)NC(=O)C[C@@H]([C@H](CC(C)C)NC(=O)[C@H](C(C)C)NC(=O)[C@H](C(C)C)NC(=O)CC(C)C)O,Unspecified,,,,AUC Ratio,=,0.838,INACTIVE
35,131281803,6918328,CC[C@H](C)[C@H]1C(=O)N2CCCC[C@@H]2C(=O)N[C@H](C(=O)N[C@H](C(=O)N1)CC3=CN(C4=CC=CC=C43)OC)CCCCCC(=O)CC,Unspecified,,,,AUC Ratio,=,0.4733,INACTIVE
36,134449640,25126798,C1CCC(C1)[C@@H](CC#N)N2C=C(C=N2)C3=C4C=CNC4=NC=N3,Unspecified,,,,AUC Ratio,=,0.786,AGONIST/INCONCLUSIVE TEST AT HIGHER DOSE
37,134461021,676352,C1=CC=C(C=C1)CNC2=NC(=NC3=CC=CC=C32)NCC4=CC=CC=C4,Unspecified,,,,AUC Ratio,=,0.773,INCONCLUSIVE
38,136942413,46907787,CC1=C(SC2=C1C(=N[C@H](C3=NN=C(N32)C)CC(=O)OC(C)(C)C)C4=CC=C(C=C4)Cl)C,Unspecified,,,,AUC Ratio,=,1.055,PARTIAL ACTIVE CC50==IC50
39,163334751,44247568,CC1=CC(=NN1C2=CC3=CC=CC=C3C=C2)OCCN4CCOCC4,Unspecified,,,,AUC Ratio,=,1.033,INACTIVE
40,174496643,135564749,CC1=CC(=CC(=C1OCCO)C)C2=NC3=C(C(=CC(=C3)OC)OC)C(=O)N2,Unspecified,,,,AUC Ratio,=,0.9615,INACTIVE
41,242402456,16195554,C1=CC=C(C=C1)C2=C/C(=C\C3=CC=C(O3)C4=CC=C(C=C4)[N+](=O)[O-])/C(=O)N2C5=CC=C(C=C5)C(=O)O,Unspecified,,,,AUC Ratio,=,1.064,INACTIVE/INCONCLUSIVE MAY MAKE WORSE?
42,312467947,45375953,CC(C)N1C2=NC=NC(=C2C(=N1)C3=CC4=C(C=C3)OC(=N4)N)N,Unspecified,,,,AUC Ratio,=,0.3097,"WEAK/INCONCLUSIVE VIRAL CURVE NOT SATURATED AT 20 UM, 30%  VIABILITIY WITH IC50 ~ 1 NM? (MAYBE OFF TARGET EFFECT?) "
43,336874558,71549093,CC1=C(SC(=N1)NC(=O)C(C)(C)C)C2=CC(=C(C=C2)OC)S(=O)(=O)NC3=CC=C(C=C3)O,Unspecified,,,,AUC Ratio,=,1.126,INACTIVE/INCONCLUSIVE GOES DOWN TO 75% MAYBE PARTIAL ANTAGONIST
44,336889861,49830258,COC1=CC=CC2=C1N=C(N=C2NCC3=CC=CC=C3)N4C5=CC=CC=C5N=C4N,Unspecified,,,,AUC Ratio,=,0.787,INACTIVE
45,336891650,73051434,CC1=CC2=C(C=CC=C2N1C3=NC4=C(COCC4)C(=N3)NCC5=CC=CC=C5)C(=O)N,Unspecified,,,,AUC Ratio,=,0.604,AGONIST CELLS INFECTED GOES UP TO 200%
46,381851019,118598754,CC1=C2C(=O)NC3(N2C(=O)C(=C1)NC4=NC=NC(=C4)N)CCCCC3,Unspecified,,,,AUC Ratio,=,1.065,INACTIVE
47,381854209,9817231,CCCN1CCC=C(C1)C2=CC(=NO2)C3=CC=C(C=C3)C,Unspecified,,,,AUC Ratio,=,1.134,WEAK ACTIVITY/INCONCLUSIVE TEST AT HIGHER DOSE
48,381877252,86271238,C1C[C@H](CNC1)N(C2=C(C=CC=N2)Cl)C(=O)C3=CC=C(C=C3)N4C5=C(C=CC=N5)N=N4,Unspecified,,,,AUC Ratio,=,0.997,WEAK/INCONCLUSIVE
49,404668490,126961335,C[C@@H](C1CCCCC1)N2C3=C(C=C(C=C3)C(=O)NC4=CC=C(C=C4)C#N)N=C2C5=CC6=C(C=C5Br)OCO6,Unspecified,,,,AUC Ratio,=,1.151,INACTIVE
50,404679228,122201421,CC1=C(SC2=C1C(=N[C@H](C3=NN=C(N32)C)CC(=O)NCCOCCOCCOCC(=O)N[C@H](C(=O)N4C[C@@H](C[C@H]4C(=O)NCC5=CC=C(C=C5)C6=C(N=CS6)C)O)C(C)(C)C)C7=CC=C(C=C7)Cl)C,Unspecified,,,,AUC Ratio,=,0.9857,ACTIVE CC50==IC50
51,404718853,132010322,CCNC(=O)C1=CC2=C(N1)C(=O)N(C=C2C3=C(C=CC(=C3)C(C)(C)O)OC4=C(C=C(C=C4C)F)C)C,Unspecified,,,,AUC Ratio,=,0.548,INACTIVE
52,405270161,121427831,CC1=C(SC2=C1C(=N[C@H](C3=NN=C(N32)C)CC(=O)NCCCCCCCCNC(=O)COC4=CC=CC5=C4C(=O)N(C5=O)C6CCC(=O)NC6=O)C7=CC=C(C=C7)Cl)C,Unspecified,,,,AUC Ratio,=,1.182,ACTIVE CC50==IC50
53,405270162,129138801,CN(C)C[C@@H]1[C@H]([C@]2([C@@]([C@@H]1O)(C3=C(N=C(C=C3O2)OC)OC)O)C4=CC=C(C=C4)C#N)C5=CC=CC=C5,Unspecified,,,,AUC Ratio,=,1.231,ACTIVE
54,405270164,146047983,CCC(C)C1C(=O)N(C(C(=O)N(C(C(=O)NC(C(=O)N(C(C(=O)N2CCCCC2C(=O)NC(C(=O)N1)C(C(C)C)O)C)C)CC(C)C=C)CC(C)C)C)C)C,Unspecified,,,,AUC Ratio,=,1.345,ACTIVE
55,405270165,146047984,CC1C(=O)OC(C(=O)NC(C(=O)N(C(C(=O)NC(C(=O)N(C(C(=O)NC(C(=O)N1C)CC(C)C)CC2=CN(C3=CC=CC=C32)CC4=CC=C(C=C4)Br)C)CC(C)C)CC(C)C)C)CC(C)C)CCC#N,Unspecified,,,,AUC Ratio,=,1.033,ACTIVE CC50 < IC50 BUT CC ONLY GOES TO 25%
56,405270170,146047985,CC1C(CC/C=C/C2=CC(=CC=C2)C(OC(=O)C3CCCN(N3)C(=O)C(NC(=O)C(NC1=O)C(C)C)C)CCNC(=O)OC(C)(C)C)OC,Unspecified,,,,AUC Ratio,=,1.054,INACTIVE
57,405270590,57389999,CC1=NOC2=C1C3=CC=CC=C3C(=N[C@H]2CC(=O)N)C4=CC=C(C=C4)Cl,Unspecified,,,,AUC Ratio,=,0.776,INACTIVE
